ITLP1,1,A,ITP1_1_A,"
<H1>Hello World</H1><br>

<p>
オンラインジャッジへようこそ。
</p>

<p>
このコースでは、プログラミングを始めたばかりの方向けの初級問題にチャレンジします。各問題には解説やヒントが与えられていますので参考にしてください。
</p>
<!--
このコースである程度力を身に付けたら、Volume の問題にチャレンジしてみましょう。
-->
<p>
まずは、慣例に従って Hello World を作成してみましょう。
</p>

<p>
""Hello World"" と標準出力にプリントするプログラムを作成してください。
</p>

<H2>Note</H2>

<p>
Javaのプログラムを提出する場合は、'Main'という名前のクラスを作成してください。クラスMainの中にプログラムの起点となるmainメソッドを記述します。
</p>

<H2>Input</H2>
<p>
この問題に入力はありません。
</p>


<H2>Output</H2>

<p>
""Hello World"" と一行に出力してください。
</p>

<p>
最後の改行を忘れないようにしましょう。必要な空白や改行がなかったり、余計な空白や改行を出力すると'Presentation Error'となり不正解になってしまいますので、注意してください。
</p>

<H2>Sample Input</H2>

<pre>
No input
</pre>

<H2>Sample Output</H2>

<pre>
Hello World
</pre>"
ITLP1,1,B,ITP1_1_B,"
<H1>x の 3 乗</H1><br>

<p>
１つの整数 <i>x</i> を読み込んで、<i>x</i> の３乗を計算し結果を出力するプログラムを作成して下さい。
</p>


<H2>Input</H2>
<p>
入力として１つの整数 <i>x</i> が与えられます。
</p>


<H2>Output</H2>

<p>
<i>x</i> の３乗の計算結果を１行に出力して下さい。最後の改行を忘れないようにしましょう。
</p>

<h2>Constraints</h2>

<p>
Constraints (制約)には、採点に使用される入力データの上限などの情報が書かれています。
変数の型を選ぶときや、アルゴリズムを考えるときに必要な情報になります。この問題に関する制約は以下の通りとなります：
</p>

<ul>
<li> 1 &le; <i>x</i> &le; 100 </li>
</ul>



<H2>Sample Input 1</H2>

<pre>
2
</pre>


<H2>Sample Output 1</H2>

<pre>
8
</pre>

<H2>Sample Input 2</H2>

<pre>
3
</pre>


<H2>Sample Output 2</H2>

<pre>
27
</pre>"
ITLP1,1,C,ITP1_1_C,"
<H1>長方形の面積と周の長さ</H1><br>

<p>
たて <i>a</i> cm よこ <i>b</i> cm の長方形の面積と周の長さを求めるプログラムを作成して下さい。
</p>


<H2>Input</H2>
<p>
<i>a</i> と <i>b</i> が１つの空白で区切られて与えられます。
</p>


<H2>Output</H2>

<p>
面積と周の長さを１つの空白で区切って１行に出力して下さい。
</p>

<h2>Constraints</h2>

<ul>
<li> 1 &le; <i>a</i>, <i>b</i> &le; 100</li>
</ul>


<H2>Sample Input</H2>

<pre>
3 5
</pre>

<H2>Sample Output</H2>

<pre>
15 16
</pre>
"
ITLP1,1,D,ITP1_1_D,"
<H1>時計</H1><br>

<p>
秒単位の時間 $S$ が与えられるので、$h$:$m$:$s$ の形式へ変換して出力してください。ここで、$h$ は時間、$m$ は 60 未満の分、$s$ は 60 未満の秒とします。
</p>


<h2>Input</h2>
<p>
$S$ が１行に与えられます。
</p>
<h2>Output</h2>
<p>
$h$、$m$、$s$ を <span>:</span>（コロン）区切りで１行に出力してください。数値が１桁の場合、0 を付けて２桁表示をする必要はありません。
</p>


<h2>Constraints</h2>

<ul>
<li>$ 0 \leq S < 86400$</li>
</ul>


<h2>Sample Input</h2>
<pre>
46979
</pre>

<h2>Sample Output</h2>
<pre>
13:2:59
</pre>"
ITLP1,2,A,ITP1_2_A,"
<H1>大小関係</H1><br>

<p>
２つの整数 <i>a</i>, <i>b</i> を読み込んで、<i>a</i> と <i>b</i> の大小関係を出力するプログラムを作成して下さい。
</p>

<H2>Input</H2>
<p>
入力は空白で区切られた２つの整数 <i>a</i>, <i>b</i> から構成されています。
</p>

<H2>Output</H2>

<p>
<i>a</i> より <i>b</i> の方が大きければ
</p>

<pre>
a &lt; b
</pre>

<p>
<i>a</i> より <i>b</i> の方が小さければ、
</p>

<pre>
a &gt; b
</pre>

<p>
<i>a</i> と <i>b</i> が等しければ、
</p>

<pre>
a == b
</pre>

<p>
と出力して下さい。
</p>

<h2>Constraints</h2>

<ul>
<li> -1,000 &le; <i>a</i>, <i>b</i> &le; 1,000</li>
</ul>


<H2>Sample Input 1</H2>

<pre>
1 2
</pre>

<H2>Sample Output 1</H2>

<pre>
a &lt; b
</pre>

<H2>Sample Input 2</H2>

<pre>
4 3
</pre>

<H2>Sample Output 2</H2>

<pre>
a &gt; b
</pre>

<H2>Sample Input 3</H2>

<pre>
5 5
</pre>

<H2>Sample Output 3</H2>

<pre>
a == b
</pre>"
ITLP1,2,B,ITP1_2_B,"
<H1>範囲</H1><br>

<p>
３つの整数a, b, cを読み込み、それらが a &lt; b &lt; cの条件を満たすならば""<span>Yes</span>""を、満たさないならば""<span>No</span>""を出力するプログラムを作成して下さい。
</p>

<H2>Input</H2>
<p>
３つの整数が空白で区切られて与えられます。
</p>

<H2>Output</H2>

<p>
<span>Yes</span>または<span>No</span>を１行に出力して下さい。
</p>


<h2>Constraints</h2>

<ul>
<li> 0 &le; <i>a</i>, <i>b</i>, <i>c</i> &le; 100</li>
</ul>


<H2>Sample Input 1</H2>

<pre>
1 3 8
</pre>

<H2>Sample Output 1</H2>

<pre>
Yes
</pre>

<H2>Sample Input 2</H2>

<pre>
3 8 1
</pre>

<H2>Sample Output 2</H2>

<pre>
No
</pre>"
ITLP1,2,C,ITP1_2_C,"
<H1>3 つの数の整列</H1><br>

<p>
３つの整数を読み込み、それらを値が小さい順に並べて出力するプログラムを作成して下さい。
</p>


<H2>Input</H2>
<p>
３つの整数が空白で区切られて与えられます。
</p>


<H2>Output</H2>

<p>
小さい順に並べ替えた３つの整数を１行に出力して下さい。整数の間に１つの空白を入れて下さい。
</p>

<h2>Constraints</h2>

<ul>
<li> 1 &le; ３つの整数 &le; 10,000</li>
</ul>


<H2>Sample Input</H2>

<pre>
3 8 1
</pre>


<H2>Sample Output</H2>

<pre>
1 3 8
</pre>"
ITLP1,2,D,ITP1_2_D,"
<H1>長方形の中の円</H1><br>

<p>
長方形の中に円が含まれるかを判定するプログラムを作成してください。次のように、長方形は左下の頂点を原点とし、右上の頂点の座標 $(W, H)$ が与えられます。また、円はその中心の座標 $(x, y)$ と半径 $r$ で与えられます。
</p>

<center>
<br>
<img src=""https://judgeapi.u-aizu.ac.jp/resources/images/IMAGE2_circle_and_rectangle"" title=""長方形の中の円"" alt=""長方形の中の円"">
<br>
</center>
<br>

<h2>Input</h2>

<p>
５つの整数 $W$、$H$、$x$、$y$、$r$ が空白区切りで１行に与えられます。
</p>

<h2>Output</h2>

<p>
円が長方形の内部に含まれるなら <span>Yes</span> と、一部でもはみ出るならば <span>No</span> と１行に出力してください。</p>


<h2>Constraints</h2>

<ul>
<li>$ -100 \leq x, y \leq 100$</li>
<li>$ 0 < W, H, r \leq 100$</li>
</ul>


<h2>Sample Input 1</h2>
<pre>
5 4 2 2 1
</pre>

<h2>Sample Output 1</h2>
<pre>
Yes
</pre>

<h2>Sample Input 2</h2>
<pre>
5 4 2 4 1
</pre>

<h2>Sample Output 2</h2>
<pre>
No
</pre>"
ITLP1,3,A,ITP1_3_A,"
<H1>複数の Hello World の出力</H1><br>

<p>
1000 個の ""Hello World"" を出力するプログラムを作成して下さい。
</p>

<H2>Input</H2>
<p>
この問題に入力はありません。
</p>

<H2>Output</H2>

<p>
各行に ""Hello World"" と書かれた 1000 行の文字列を出力して下さい。
</p>

<H2>Sample Input</H2>

<pre>
No input
</pre>

<H2>Sample Output</H2>

<pre>
Hello World
Hello World
Hello World
Hello World
Hello World
Hello World
Hello World
.
.
.
.
.
.
Hello World
</pre>"
ITLP1,3,B,ITP1_3_B,"
<H1>テストケースの出力</H1><br>

<p>
オンラインジャッジでは、提出されたプログラムが複数の入力データそれぞれに対して正しい出力を行っているかを判定するために、１つの入力データファイルに複数のデータセットが含まれているものがあります。この問題は、そのようなデータセットを処理するための練習問題です。
</p>

<p>
１つの整数 <i>x</i> を読み込み、それをそのまま出力するプログラムを作成して下さい。
</p>

<p>
ただし、この問題は以下に示すようにいくつかのデータセットが与えられることに注意して下さい。
</p>


<H2>Input</H2>

<p>
入力は複数のデータセットから構成されています。各データセットは１つの整数 <i>x</i> を含む１行から構成されています。
</p>

<p>
<i>x</i> が 0 のとき入力の終わりを示し、このデータセットに対する出力を行ってはいけません。
</p>


<H2>Output</H2>

<p>
各データセットごとに、以下の形式で <i>x</i> を出力して下さい：
</p>

<pre>
Case i: x
</pre>

<p>
ここで、<span>i</span> は１から始まるデータセットの番号を示します。<span>Case</span>と番号 <span>i</span>の間に１つの空白を入れて下さい。また、:（コロン）と整数 <span>x</span> の間に１つの空白を入れて下さい。サンプル入出力を参考にして下さい。
</p>

<h2>Constraints</h2>

<ul>
<li> 1 &le; <i>x</i> &le; 10,000</li>
<li>データセットの数は 10,000 を超えない。</li>
</ul>


<H2>Sample Input</H2>

<pre>
3
5
11
7
8
19
0
</pre>



<H2>Sample Output</H2>

<pre>
Case 1: 3
Case 2: 5
Case 3: 11
Case 4: 7
Case 5: 8
Case 6: 19
</pre>"
